track|artist|album|year
A Minor Sax|Sonny Stitt|Burnin'|1960
Lover Man|Sonny Stitt|Burnin'|1960
Reed And A Half|Sonny Stitt|Burnin'|1960
How High The Moon|Sonny Stitt|Burnin'|1960
I´ll Tell You Later|Sonny Stitt|Burnin'|1960
Look For The Silver Lining|Sonny Stitt|Burnin'|1960
Easy Living|Sonny Stitt|Burnin'|1960
It´s Hipper Than That|Sonny Stitt|Burnin'|1960
You're Not The Kind Of A Girl|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
I Cover The Waterfront|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Full Moon|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Jam For Boppers|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Don't Do Me Wrong|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Don't Worry About Me|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Baby, Won't You Please Say Yes|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Cha Bootie|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Tenor Eleven|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
The Last Mile|Gene Ammons - Sonny Stitt|Jug And Sonny|1960
Blue Devil Blues|Sonny Stitt|Blows The Blues|1960
Home Free Blues|Sonny Stitt|Blows The Blues|1960
Blue Prelude|Sonny Stitt|Blows The Blues|1960
Frankie And Johnny|Sonny Stitt|Blows The Blues|1960
Birth Of The Blues|Sonny Stitt|Blows The Blues|1960
A Blues Offering|Sonny Stitt|Blows The Blues|1960
Hymnal Blues|Sonny Stitt|Blows The Blues|1960
Morning After Blues|Sonny Stitt|Blows The Blues|1960
McKie's|Sonny Stitt|At The D.J. Lounge|1961
It All Depends On You|Sonny Stitt|At The D.J. Lounge|1961
Blue Moon|Sonny Stitt|At The D.J. Lounge|1961
Jay Tee|Sonny Stitt|At The D.J. Lounge|1961
I'm In The Mood For Love|Sonny Stitt|At The D.J. Lounge|1961
Free Chicken|Sonny Stitt|At The D.J. Lounge|1961
O Sole Mio|Sonny Stitt|Feelin's|1962
Feelin's|Sonny Stitt|Feelin's|1962
S'Posin'|Sonny Stitt|Feelin's|1962
Look Up|Sonny Stitt|Feelin's|1962
Goodnight Ladies|Sonny Stitt|Feelin's|1962
If I Should Lose You|Sonny Stitt|Feelin's|1962
Hollerin' The Blues|Sonny Stitt|Feelin's|1962
Stretch Pants|Sonny Stitt|Feelin's|1962
Rearin' Back|Sonny Stitt|Rearin' Back|1962
We|Sonny Stitt|Rearin' Back|1962
Little Girl Blue|Sonny Stitt|Rearin' Back|1962
Cut Plug|Sonny Stitt|Rearin' Back|1962
Queen|Sonny Stitt|Rearin' Back|1962
Carpsie's Groove|Sonny Stitt|Rearin' Back|1962
Bunny R.|Sonny Stitt|Rearin' Back|1962
Low Flame|Sonny Stitt|Low Flame|1962
Put Your Little Foot Right Out|Sonny Stitt|Low Flame|1962
Cynthia Sue|Sonny Stitt|Low Flame|1962
Donald Duck|Sonny Stitt|Low Flame|1962
Close Your Eyes|Sonny Stitt|Low Flame|1962
Silly Billy|Sonny Stitt|Low Flame|1962
Baby, Do You Ever Think Of Me|Sonny Stitt|Low Flame|1962
Fine And Dandy|Sonny Stitt|Low Flame|1962
Blues Up And Down|Gene Ammons / Sonny Stitt|Boss Tenors: Straight Ahead From Chicago August 1961|1962
Counter Clockwise|Gene Ammons / Sonny Stitt|Boss Tenors: Straight Ahead From Chicago August 1961|1962
There Is No Greater Love|Gene Ammons / Sonny Stitt|Boss Tenors: Straight Ahead From Chicago August 1961|1962
